CPU,Cores,Clock,Process,L3 Cache,TDP
Athlon 1000,1 ,1000 MHz,180 nm,N/A,54 W
Athlon 1000,1 ,1000 MHz,180 nm,N/A,54 W
Athlon 1100,1 ,1100 MHz,180 nm,N/A,60 W
Athlon 1133,1 ,1133 MHz,180 nm,N/A,63 W
Athlon 1200,1 ,1200 MHz,180 nm,N/A,66 W
Athlon 1200,1 ,1200 MHz,180 nm,N/A,66 W
Athlon 600,1 ,600 MHz,180 nm,N/A,38 W
Athlon 650,1 ,650 MHz,180 nm,N/A,38 W
Athlon 700,1 ,700 MHz,180 nm,N/A,40 W
Athlon 750,1 ,750 MHz,180 nm,N/A,43 W
Athlon 800,1 ,800 MHz,180 nm,N/A,45 W
Athlon 850,1 ,850 MHz,180 nm,N/A,47 W
Athlon 900,1 ,900 MHz,180 nm,N/A,50 W
Athlon 950,1 ,950 MHz,180 nm,N/A,52 W
Athlon 1300,1 ,1300 MHz,180 nm,N/A,68 W
Athlon 1333,1 ,1333 MHz,180 nm,N/A,70 W
Athlon 1400,1 ,1400 MHz,180 nm,N/A,72 W
Athlon 1400,1 ,1400 MHz,180 nm,N/A,72 W
Athlon 64 3000+,1 ,2000 MHz,90 nm,N/A,51 W
Athlon 64 3000+,1 ,2000 MHz,90 nm,N/A,51 W
Athlon 64 3200+,1 ,2.2 GHz,130 nm,N/A,89 W
Athlon 64 3200+,1 ,2.2 GHz,90 nm,N/A,59 W
Athlon 64 3400+,1 ,2.4 GHz,130 nm,N/A,89 W
Athlon 64 3400+,1 ,2.2 GHz,90 nm,N/A,67 W
Athlon 64 3400+,1 ,2.4 GHz,90 nm,N/A,67 W
Athlon 64 3500+,1 ,2.2 GHz,90 nm,N/A,67 W
Athlon 64 4000+,1 ,2.4 GHz,90 nm,N/A,89 W
Athlon 64 X2 3600+,2 ,2000 MHz,90 nm,N/A,89 W
Athlon XP 1500+,1 ,1333 MHz,180 nm,N/A,60 W
Athlon XP 1600+,1 ,1400 MHz,180 nm,N/A,63 W
Athlon XP 1600+,1 ,1400 MHz,130 nm,N/A,49 W
Athlon XP 1700+,1 ,1467 MHz,180 nm,N/A,64 W
Athlon XP 1700+,1 ,1467 MHz,130 nm,N/A,50 W
Athlon XP 1700+,1 ,1467 MHz,130 nm,N/A,50 W
Athlon XP 1800+,1 ,1533 MHz,180 nm,N/A,66 W
Athlon XP 1800+,1 ,1533 MHz,130 nm,N/A,51 W
Athlon XP 1900+,1 ,1600 MHz,130 nm,N/A,53 W
Athlon XP 1900+,1 ,1600 MHz,180 nm,N/A,68 W
Athlon XP 2100+,1 ,1733 MHz,130 nm,N/A,62 W
Athlon XP 2200+,1 ,1800 MHz,130 nm,N/A,63 W
Sempron 2200+,1 ,1500 MHz,130 nm,N/A,62 W
Sempron 2300+,1 ,1583 MHz,130 nm,N/A,62 W
Sempron 2400+,1 ,1667 MHz,130 nm,N/A,62 W
Sempron 2500+,1 ,1750 MHz,130 nm,N/A,62 W
Sempron 2600+,1 ,1600 MHz,130 nm,N/A,25 W
Sempron 2600+,1 ,1833 MHz,130 nm,N/A,62 W
Sempron 2800+,1 ,1600 MHz,130 nm,N/A,25 W
Sempron 2800+,1 ,2000 MHz,130 nm,N/A,62 W
Sempron 3000+,1 ,1800 MHz,130 nm,N/A,25 W
Sempron 3100+,1 ,1800 MHz,130 nm,N/A,25 W
Sempron 3300+,1 ,2.2 GHz,130 nm,N/A,62 W
Celeron 2.30,1 ,2.3 GHz,130 nm,N/A,73 W
Celeron 2.40,1 ,2.4 GHz,130 nm,N/A,73 W
Celeron 2.60,1 ,2.6 GHz,130 nm,N/A,73 W
Celeron 2.70,1 ,2.7 GHz,130 nm,N/A,73 W
Celeron 2.80,1 ,2.8 GHz,130 nm,N/A,73 W
Mobile Pentium 4 2.40,1  / 2,2.4 GHz,130 nm,N/A,60 W
Mobile Pentium 4 2.66,1  / 2,2.667 GHz,130 nm,N/A,66 W
Mobile Pentium 4 2.80,1  / 2,2.8 GHz,130 nm,N/A,68 W
Mobile Pentium 4 3.06,1  / 2,3.067 GHz,130 nm,N/A,70 W
Mobile Pentium 4 HT 2.66,1  / 2,2.667 GHz,130 nm,N/A,66 W
Mobile Pentium 4 HT 2.80,1  / 2,2.8 GHz,130 nm,N/A,68 W
Mobile Pentium 4 HT 3.06,1  / 2,3.067 GHz,130 nm,N/A,70 W
Mobile Pentium 4 HT 3.20,1  / 2,3.2 GHz,130 nm,N/A,76 W
Pentium 4 HT 2.40,1  / 2,2.4 GHz,130 nm,N/A,66 W
Pentium 4 HT 2.60,1  / 2,2.6 GHz,130 nm,N/A,69 W
Pentium 4 HT 2.80,1  / 2,2.8 GHz,130 nm,N/A,70 W
Pentium 4 HT 3.00,1  / 2,3 GHz,130 nm,N/A,82 W
Pentium 4 HT 3.06,1  / 2,3.06 GHz,130 nm,N/A,110 W
Pentium 4 HT 3.20,1  / 2,3.2 GHz,130 nm,N/A,82 W
Pentium 4 HT EE 3.20,1  / 2,3.2 GHz,130 nm,2MB,110 W
Pentium 4-M 2.40,1 ,2.4 GHz,130 nm,N/A,35 W
Pentium 4-M 2.50,1 ,2.5 GHz,130 nm,N/A,35 W
Pentium 4-M 2.60,1 ,2.6 GHz,130 nm,N/A,35 W
Pentium M 1.30,1 ,1300 MHz,130 nm,N/A,24 W
Pentium M 1.40,1 ,1400 MHz,130 nm,N/A,24 W
Pentium M 1.50,1 ,1500 MHz,130 nm,N/A,24 W
Pentium M 1.60,1 ,1600 MHz,130 nm,N/A,24 W
Pentium M 1.70,1 ,1700 MHz,130 nm,N/A,24 W
Xeon 3.06,1 ,3.066 GHz,130 nm,1MB,97 W
Xeon 3.06,1 ,3.066 GHz,130 nm,2MB,97 W
Xeon 3.06,1 ,3.066 GHz,130 nm,N/A,89 W
Xeon 3.20,1 ,3.2 GHz,130 nm,1MB,97 W
Athlon XP 1800+,1 ,1533 MHz,130 nm,N/A,51 W
Athlon XP 2000+,1 ,1667 MHz,130 nm,N/A,60 W
Athlon XP 2000+,1 ,1667 MHz,130 nm,N/A,60 W
Athlon XP 2000+,1 ,1667 MHz,180 nm,N/A,70 W
Athlon XP 2100+,1 ,1733 MHz,180 nm,N/A,72 W
Athlon XP 2200+,1 ,1800 MHz,130 nm,N/A,68 W
Athlon XP 2400+,1 ,2000 MHz,130 nm,N/A,65 W
Athlon XP 2400+,1 ,2000 MHz,130 nm,N/A,68 W
Athlon XP 2600+,1 ,2.133 GHz,130 nm,N/A,68 W
Athlon XP 2600+,1 ,2.083 GHz,130 nm,N/A,68 W
Athlon XP 2700+,1 ,2.167 GHz,130 nm,N/A,68 W
Athlon XP 2800+,1 ,2.25 GHz,130 nm,N/A,74 W
Athlon XP-M 2200+,1 ,1800 MHz,130 nm,N/A,45 W
Pentium 4 1.3,1 ,1300 MHz,180 nm,N/A,52 W
Pentium 4 1.4,1 ,1400 MHz,180 nm,N/A,55 W
Pentium 4 1.5,1 ,1500 MHz,180 nm,N/A,58 W
Pentium 4 1.6,1 ,1600 MHz,180 nm,N/A,61 W
Pentium 4 1.6,1 ,1600 MHz,180 nm,N/A,61 W
Pentium 4 1.7,1 ,1700 MHz,180 nm,N/A,64 W
Pentium 4 1.7,1 ,1700 MHz,180 nm,N/A,64 W
Pentium 4 1.80,1 ,1800 MHz,180 nm,N/A,67 W
Pentium 4 1.8A,1 ,1800 MHz,180 nm,N/A,67 W
Pentium 4 1.9,1 ,1900 MHz,180 nm,N/A,69 W
Pentium 4 1.9,1 ,1900 MHz,180 nm,N/A,69 W
Pentium 4 2.0,1 ,2000 MHz,130 nm,N/A,110 W
Pentium 4 2.0,1 ,2000 MHz,180 nm,N/A,72 W
Pentium 4 2.0,1 ,2000 MHz,180 nm,N/A,72 W
Pentium 4 HT 524,1  / 2,3.06 GHz,90 nm,N/A,84 W
Pentium III  800,1 ,800 MHz,180 nm,N/A,38 W
Pentium III  866,1 ,866 MHz,180 nm,N/A,38 W
Pentium III  933,1 ,933 MHz,180 nm,N/A,27 W
Pentium III 1000,1 ,1000 MHz,130 nm,N/A,30 W
Pentium III 1000,1 ,1000 MHz,180 nm,N/A,29 W
Pentium III 1000S,1 ,1000 MHz,130 nm,N/A,30 W
Pentium III 1133,1 ,1133 MHz,130 nm,N/A,29 W
Pentium III 1133,1 ,1133 MHz,180 nm,N/A,29 W
Pentium III 1133S,1 ,1133 MHz,130 nm,N/A,29 W
Pentium III 1200,1 ,1200 MHz,130 nm,N/A,30 W
Pentium III 1266S,1 ,1266 MHz,130 nm,N/A,30 W
Pentium III 1333,1 ,1333 MHz,130 nm,N/A,30 W
Pentium III 1400,1 ,1400 MHz,130 nm,N/A,31 W
Athlon 64 2700+,1 ,1600 MHz,130 nm,N/A,32 W
Athlon 64 2800+,1 ,1800 MHz,130 nm,N/A,32 W
Athlon 64 2800+,1 ,1800 MHz,130 nm,N/A,89 W
Athlon 64 2800+,1 ,1800 MHz,130 nm,N/A,89 W
Athlon 64 3000+,1 ,2000 MHz,130 nm,N/A,89 W
Athlon 64 3000+,1 ,1800 MHz,90 nm,N/A,67 W
Athlon 64 3000+,1 ,1800 MHz,130 nm,N/A,32 W
Athlon 64 3000+,1 ,1800 MHz,130 nm,N/A,89 W
Athlon 64 3200+,1 ,2000 MHz,130 nm,N/A,89 W
Athlon 64 3200+,1 ,2000 MHz,90 nm,N/A,67 W
Athlon 64 3200+,1 ,2.2 GHz,130 nm,N/A,89 W
Athlon 64 3300+,1 ,2.4 GHz,130 nm,N/A,89 W
Athlon 64 3400+,1 ,2.4 GHz,130 nm,N/A,89 W
Athlon 64 3400+,1 ,2.2 GHz,130 nm,N/A,89 W
Athlon 64 3400+,1 ,2.2 GHz,130 nm,N/A,89 W
Athlon 64 3500+,1 ,2.2 GHz,90 nm,N/A,67 W
Athlon 64 3500+,1 ,2.2 GHz,130 nm,N/A,89 W
Athlon 64 3500+,1 ,2.2 GHz,130 nm,N/A,89 W
Athlon 64 3600+,1 ,2.4 GHz,130 nm,N/A,89 W
Athlon 64 3700+,1 ,2.4 GHz,130 nm,N/A,89 W
Athlon 64 3700+,1 ,2.2 GHz,90 nm,N/A,89 W
Athlon 64 3800+,1 ,2.4 GHz,130 nm,N/A,89 W
Athlon 64 3800+,1 ,2.4 GHz,130 nm,N/A,89 W
Athlon 64 4000+,1 ,2.4 GHz,130 nm,N/A,89 W
Athlon 64 4000+,1 ,2.4 GHz,90 nm,N/A,89 W
Athlon 64 FX-53,1 ,2.4 GHz,130 nm,N/A,89 W
Athlon 64 FX-53,1 ,2.4 GHz,130 nm,N/A,89 W
Athlon 64 FX-55,1 ,2.6 GHz,90 nm,N/A,104 W
Athlon 64 FX-55,1 ,2.6 GHz,130 nm,N/A,104 W
Athlon XP 2600+ DTR,1 ,1917 MHz,130 nm,N/A,55 W
Athlon XP 2800+ DTR,1 ,2.083 GHz,130 nm,N/A,55 W
Athlon XP-M 2200+,1 ,1667 MHz,130 nm,N/A,27 W
Athlon XP-M 2800+,1 ,2.133 GHz,130 nm,N/A,55 W
Athlon XP-M 2800+ (72W),1 ,2.133 GHz,130 nm,N/A,72 W
Mobile Athlon 64 2700+,1 ,1600 MHz,130 nm,N/A,82 W
Mobile Athlon 64 2800+,1 ,1800 MHz,130 nm,N/A,35 W
Mobile Athlon 64 2800+,1 ,1800 MHz,130 nm,N/A,62 W
Mobile Athlon 64 2800+,1 ,1800 MHz,130 nm,N/A,82 W
Mobile Athlon 64 3000+,1 ,1800 MHz,130 nm,N/A,62 W
Mobile Athlon 64 3000+,1 ,2000 MHz,130 nm,N/A,35 W
Mobile Athlon 64 3200+,1 ,2000 MHz,130 nm,N/A,62 W
Opteron 140,1 ,1400 MHz,130 nm,N/A,82 W
Opteron 140 EE,1 ,1400 MHz,130 nm,N/A,30 W
Opteron 142,1 ,1600 MHz,130 nm,N/A,82 W
Opteron 144,1 ,1800 MHz,130 nm,N/A,82 W
Opteron 146 HE,1 ,2000 MHz,130 nm,N/A,55 W
Opteron 148,1 ,2.2 GHz,130 nm,N/A,89 W
Opteron 148 HE,1 ,2.2 GHz,90 nm,N/A,55 W
Opteron 150,1 ,2.4 GHz,130 nm,N/A,89 W
Opteron 240,1 ,1400 MHz,130 nm,N/A,82 W
Opteron 240 EE,1 ,1400 MHz,130 nm,N/A,30 W
Opteron 242,1 ,1600 MHz,130 nm,N/A,82 W
Opteron 242,1 ,1600 MHz,90 nm,N/A,85 W
Opteron 244,1 ,1800 MHz,130 nm,N/A,82 W
Opteron 244,1 ,1800 MHz,90 nm,N/A,85 W
Opteron 246,1 ,2000 MHz,90 nm,N/A,85 W
Opteron 246,1 ,2000 MHz,90 nm,N/A,85 W
Opteron 246 HE,1 ,2000 MHz,130 nm,N/A,55 W
Opteron 248,1 ,2.2 GHz,90 nm,N/A,85 W
Opteron 248,1 ,2.2 GHz,90 nm,N/A,85 W
Opteron 248,1 ,2.2 GHz,130 nm,N/A,89 W
Opteron 250,1 ,2.4 GHz,90 nm,N/A,85 W
Opteron 250,1 ,2.4 GHz,130 nm,N/A,89 W
Opteron 840,1 ,1400 MHz,130 nm,N/A,82 W
Opteron 840 EE,1 ,1400 MHz,130 nm,N/A,30 W
Opteron 842,1 ,1600 MHz,90 nm,N/A,85 W
Opteron 842,1 ,1600 MHz,130 nm,N/A,82 W
Opteron 844,1 ,1800 MHz,130 nm,N/A,82 W
Opteron 844,1 ,1800 MHz,90 nm,N/A,85 W
Opteron 846,1 ,2000 MHz,90 nm,N/A,85 W
Opteron 846,1 ,2000 MHz,90 nm,N/A,85 W
Opteron 846 HE,1 ,2000 MHz,130 nm,N/A,55 W
Opteron 848,1 ,2.2 GHz,90 nm,N/A,85 W
Opteron 848,1 ,2.2 GHz,130 nm,N/A,89 W
Opteron 850,1 ,2.4 GHz,90 nm,N/A,85 W
Opteron 850,1 ,2.4 GHz,130 nm,N/A,89 W
Sempron 2200+,1 ,1500 MHz,130 nm,N/A,62 W
Sempron 2200+,1 ,1500 MHz,130 nm,N/A,62 W
Sempron 2300+,1 ,1583 MHz,130 nm,N/A,62 W
Sempron 2400+,1 ,1667 MHz,130 nm,N/A,62 W
Sempron 2400+,1 ,1667 MHz,130 nm,N/A,62 W
Sempron 2500+,1 ,1750 MHz,130 nm,N/A,62 W
Sempron 2600+,1 ,1600 MHz,90 nm,N/A,25 W
Sempron 2600+,1 ,1600 MHz,90 nm,N/A,62 W
Sempron 2600+,1 ,1600 MHz,90 nm,N/A,62 W
Sempron 2600+,1 ,1833 MHz,130 nm,N/A,62 W
Sempron 2800+,1 ,1600 MHz,90 nm,N/A,25 W
Sempron 2800+,1 ,1600 MHz,90 nm,N/A,62 W
Sempron 2800+,1 ,1600 MHz,90 nm,N/A,62 W
Sempron 2800+,1 ,1992 MHz,130 nm,N/A,62 W
Sempron 2800+,1 ,1992 MHz,130 nm,N/A,62 W
Sempron 3000+,1 ,2000 MHz,130 nm,N/A,62 W
Sempron 3000+,1 ,1800 MHz,90 nm,N/A,62 W
Sempron 3000+,1 ,1800 MHz,90 nm,N/A,25 W
Sempron 3100+,1 ,1800 MHz,130 nm,N/A,62 W
Pentium 4 1.4,1 ,1400 MHz,180 nm,N/A,55 W
Pentium 4 1.5,1 ,1500 MHz,180 nm,N/A,58 W
Pentium III 1133,1 ,1133 MHz,180 nm,N/A,29 W
Celeron D 325,1 ,2.533 GHz,90 nm,N/A,73 W
Celeron D 326,1 ,2.53 GHz,90 nm,N/A,73 W
Celeron D 330,1 ,2.667 GHz,90 nm,N/A,84 W
Celeron D 335,1 ,2.8 GHz,90 nm,N/A,84 W
Celeron D 335,1 ,2.8 GHz,90 nm,N/A,84 W
Celeron D 340,1 ,2.93 GHz,90 nm,N/A,84 W
Celeron D 341,1 ,2.93 GHz,90 nm,N/A,84 W
Celeron D 346,1 ,3.06 GHz,90 nm,N/A,73 W
Mobile Pentium 4 HT 518,1  / 2,2.8 GHz,90 nm,N/A,88 W
Mobile Pentium 4 HT 532,1  / 2,3.067 GHz,90 nm,N/A,88 W
Mobile Pentium 4 HT 538,1  / 2,3.2 GHz,90 nm,N/A,88 W
Mobile Pentium 4 HT 548,1  / 2,3.334 GHz,90 nm,N/A,88 W
Pentium 4 2.40,1 ,2.4 GHz,90 nm,N/A,110 W
Pentium 4 505,1 ,2.66 GHz,90 nm,N/A,84 W
Pentium 4 505J,1 ,2.66 GHz,90 nm,N/A,84 W
Pentium 4 519,1 ,3.06 GHz,90 nm,N/A,84 W
Pentium 4 HT 2.8E,1  / 2,2.8 GHz,90 nm,N/A,115 W
Pentium 4 HT 3.0E,1  / 2,3 GHz,90 nm,N/A,115 W
Pentium 4 HT 3.2E,1  / 2,3.2 GHz,90 nm,N/A,115 W
Pentium 4 HT 3.40,1  / 2,3.4 GHz,130 nm,N/A,89 W
Pentium 4 HT 3.4E,1  / 2,3.4 GHz,90 nm,N/A,115 W
Pentium 4 HT 3.6E,1  / 2,3.6 GHz,90 nm,N/A,115 W
Pentium 4 HT 515,1  / 2,2.933 GHz,90 nm,N/A,84 W
Pentium 4 HT 515,1  / 2,2.933 GHz,90 nm,N/A,84 W
Pentium 4 HT 516,1  / 2,2.933 GHz,90 nm,N/A,84 W
Pentium 4 HT 516,1  / 2,2.933 GHz,90 nm,N/A,84 W
Pentium 4 HT 517,1  / 2,2.933 GHz,90 nm,N/A,84 W
Pentium 4 HT 517,1  / 2,2.933 GHz,90 nm,N/A,84 W
Pentium 4 HT 520,1  / 2,2.933 GHz,90 nm,N/A,84 W
Pentium 4 HT 520,1  / 2,2.8 GHz,90 nm,N/A,84 W
Pentium 4 HT 520,1  / 2,2.8 GHz,90 nm,N/A,84 W
Pentium 4 HT 520,1  / 2,2.8 GHz,90 nm,N/A,84 W
Pentium 4 HT 530,1  / 2,3 GHz,90 nm,N/A,84 W
Pentium 4 HT 540,1  / 2,3.2 GHz,90 nm,N/A,84 W
Pentium 4 HT 550,1  / 2,3.4 GHz,90 nm,N/A,115 W
Pentium 4 HT 560,1  / 2,3.6 GHz,90 nm,N/A,115 W
Pentium 4 HT 570,1  / 2,3.8 GHz,90 nm,N/A,115 W
Pentium 4 HT EE 3.40,1  / 2,3.4 GHz,130 nm,2MB,110 W
Pentium 4 HT EE 3.40,1  / 2,3.4 GHz,130 nm,2MB,110 W
Pentium 4 HT EE 3.46,1  / 2,3.46 GHz,130 nm,2MB,110 W
Pentium M 715,1 ,1500 MHz,90 nm,N/A,21 W
Pentium M 725,1 ,1600 MHz,90 nm,N/A,21 W
Pentium M 735,1 ,1700 MHz,90 nm,N/A,21 W
Pentium M 745,1 ,1800 MHz,90 nm,N/A,21 W
Pentium M 755,1 ,2000 MHz,90 nm,N/A,21 W
Pentium M 765,1 ,2.1 GHz,90 nm,N/A,21 W
Xeon 2.8,1 ,2.8 GHz,90 nm,N/A,135 W
Xeon 3.0,1 ,3 GHz,90 nm,N/A,135 W
Xeon 3.2,1 ,3.2 GHz,90 nm,N/A,135 W
Xeon 3.20,1 ,3.2 GHz,130 nm,2MB,97 W
Xeon 3.4,1 ,3.4 GHz,90 nm,N/A,135 W
Xeon 3.6,1 ,3.6 GHz,90 nm,N/A,135 W
Xeon MP 3.0,1  / 2,3 GHz,130 nm,4MB,85 W
Celeron D 350,1 ,3.2 GHz,90 nm,N/A,84 W
Core Duo T2050,2 ,1600 MHz,65 nm,N/A,31 W
Mobile Pentium 4 HT 552,1  / 2,3.467 GHz,90 nm,N/A,88 W
Pentium 4 506,1 ,2.66 GHz,90 nm,N/A,84 W
Pentium 4 506,1 ,2.66 GHz,90 nm,N/A,84 W
Pentium 4 506,1 ,2.66 GHz,90 nm,N/A,84 W
Pentium 4 511,1 ,2.8 GHz,90 nm,N/A,84 W
Pentium 4 511,1 ,2.8 GHz,90 nm,N/A,84 W
Pentium 4 511,1 ,2.8 GHz,90 nm,N/A,84 W
Pentium 4 519K,1 ,3.06 GHz,90 nm,N/A,84 W
Pentium 4 519K,1 ,3.06 GHz,90 nm,N/A,84 W
Pentium 4 HT 521,1  / 2,2.8 GHz,90 nm,N/A,84 W
Pentium 4 HT 531,1  / 2,3 GHz,90 nm,N/A,84 W
Pentium 4 HT 541,1  / 2,3.2 GHz,90 nm,N/A,84 W
Pentium 4 HT 551,1  / 2,3.4 GHz,90 nm,N/A,115 W
Pentium 4 HT 561,1  / 2,3.6 GHz,90 nm,N/A,115 W
Pentium 4 HT 571,1  / 2,3.8 GHz,90 nm,N/A,115 W
Pentium 4 HT 620,1  / 2,2.8 GHz,90 nm,N/A,84 W
Pentium 4 HT 630,1  / 2,3 GHz,90 nm,N/A,84 W
Pentium 4 HT 640,1  / 2,3.2 GHz,90 nm,N/A,84 W
Pentium 4 HT 650,1  / 2,3.4 GHz,90 nm,N/A,84 W
Pentium 4 HT 660,1  / 2,3.6 GHz,90 nm,N/A,84 W
Pentium 4 HT 662,1  / 2,3.6 GHz,90 nm,N/A,84 W
Pentium 4 HT 670,1  / 2,3.8 GHz,90 nm,N/A,84 W
Pentium 4 HT 672,1  / 2,3.8 GHz,90 nm,N/A,84 W
Pentium 4 HT EE 3.73,1  / 2,3.733 GHz,90 nm,N/A,115 W
Pentium D 820,2 ,2.8 GHz,90 nm,N/A,130 W
Pentium D 820,2 ,2.8 GHz,90 nm,N/A,130 W
Pentium D 830,2 ,3 GHz,90 nm,N/A,130 W
Pentium D 840,2 ,3.2 GHz,90 nm,N/A,130 W
Pentium D 840 EE,2  / 4,3.2 GHz,90 nm,N/A,130 W
Pentium M 730,1 ,1600 MHz,90 nm,N/A,27 W
Pentium M 740,1 ,1730 MHz,90 nm,N/A,27 W
Pentium M 750,1 ,1860 MHz,90 nm,N/A,27 W
Pentium M 760,1 ,2000 MHz,90 nm,N/A,27 W
Pentium M 770,1 ,2.13 GHz,90 nm,N/A,27 W
Pentium M 780,1 ,2.26 GHz,90 nm,N/A,27 W
Xeon 2.8,2 ,2.8 GHz,90 nm,N/A,135 W
Xeon 3.0,1 ,3 GHz,90 nm,N/A,135 W
Xeon 3.2,1 ,3.2 GHz,90 nm,N/A,135 W
Xeon 3.4,1 ,3.4 GHz,90 nm,N/A,135 W
Xeon 3.6,1 ,3.6 GHz,90 nm,N/A,135 W
Xeon MP 2.83,1 ,2.833 GHz,90 nm,4MB,129 W
Xeon MP 2.83,1 ,2.833 GHz,90 nm,8MB,135 W
Xeon MP 3.00,1 ,3 GHz,90 nm,4MB,135 W
Xeon MP 3.00,1 ,3 GHz,90 nm,8MB,135 W
Xeon MP 3.16,1 ,3.167 GHz,90 nm,4MB,135 W
Xeon MP 3.16,1 ,3.167 GHz,90 nm,8MB,135 W
Xeon MP 3.16,1 ,3.167 GHz,90 nm,N/A,135 W
Xeon MP 3.33,1 ,3.334 GHz,90 nm,N/A,135 W
Xeon MP 3.33,1 ,3.333 GHz,90 nm,8MB,135 W
Xeon MP 3.33,1 ,3.333 GHz,90 nm,4MB,135 W
Xeon MP 3.50,1 ,3.5 GHz,90 nm,N/A,135 W
Xeon MP 3.66,1 ,3.667 GHz,90 nm,N/A,135 W
Xeon MP 7020 Dual-Core,2 ,2.667 GHz,90 nm,N/A,135 W
Xeon MP 7030 Dual-Core,2 ,2.8 GHz,90 nm,N/A,135 W
Xeon MP 7030 Dual-Core,2 ,2.833 GHz,90 nm,N/A,135 W
Xeon MP 7040 Dual-Core,2 ,3 GHz,90 nm,N/A,135 W
Xeon MP 7041 Dual-Core,2 ,3 GHz,90 nm,N/A,135 W
Celeron 2.0,1 ,2000 MHz,130 nm,N/A,73 W
Celeron 2.0,1 ,2000 MHz,130 nm,N/A,73 W
Celeron 2.10,1 ,2.1 GHz,130 nm,N/A,73 W
Celeron 2.20,1 ,2.2 GHz,130 nm,N/A,73 W
Pentium 4 2.0,1 ,2000 MHz,130 nm,N/A,92 W
Pentium 4 2.2,1 ,2.2 GHz,130 nm,N/A,92 W
Pentium 4 2.26,1 ,2.261 GHz,130 nm,N/A,110 W
Pentium 4 2.4,1 ,2.4 GHz,130 nm,N/A,92 W
Pentium 4 2.4,1 ,2.4 GHz,130 nm,N/A,110 W
Pentium 4 2.53,1 ,2.527 GHz,130 nm,N/A,110 W
Pentium 4 2.60,1 ,2.6 GHz,130 nm,N/A,92 W
Pentium 4 2.66,1 ,2.66 GHz,130 nm,N/A,110 W
Pentium 4 2.80,1 ,2.793 GHz,130 nm,N/A,110 W
Pentium 4-M 1.40,1 ,1400 MHz,130 nm,N/A,21 W
Pentium 4-M 1.50,1 ,1500 MHz,130 nm,N/A,26 W
Pentium 4-M 1.60,1 ,1600 MHz,130 nm,N/A,30 W
Pentium 4-M 1.70,1 ,1700 MHz,130 nm,N/A,30 W
Pentium 4-M 1.80,1 ,1800 MHz,130 nm,N/A,30 W
Pentium 4-M 1.90,1 ,1900 MHz,130 nm,N/A,32 W
Pentium 4-M 2.00,1 ,2000 MHz,130 nm,N/A,32 W
Pentium 4-M 2.20,1 ,2.2 GHz,130 nm,N/A,35 W
Pentium III 1400S,1 ,1400 MHz,130 nm,N/A,32 W
Xeon 2.0,1 ,2000 MHz,130 nm,N/A,89 W
Xeon 2.4,1 ,2.394 GHz,130 nm,N/A,89 W
Xeon 2.66,1 ,2.66 GHz,130 nm,N/A,89 W
Xeon 2.8,1 ,2.79 GHz,130 nm,N/A,89 W
Athlon 64 3000+,1 ,1800 MHz,90 nm,N/A,62 W
Athlon 64 3200+,1 ,2000 MHz,90 nm,N/A,62 W
Athlon 64 3500+,1 ,2.2 GHz,90 nm,N/A,62 W
Athlon 64 3800+,1 ,2.4 GHz,90 nm,N/A,62 W
Athlon 64 FX-60,2 ,2.6 GHz,90 nm,N/A,110 W
Athlon 64 FX-62,2 ,2.8 GHz,90 nm,N/A,125 W
Athlon 64 FX-70,2 ,2.6 GHz,90 nm,N/A,125 W
Athlon 64 FX-72,2 ,2.8 GHz,90 nm,N/A,125 W
Athlon 64 FX-74,2 ,3 GHz,90 nm,N/A,125 W
Athlon 64 FX-76,2 ,3.2 GHz,90 nm,N/A,125 W
Athlon 64 X2 3600+,2 ,1900 MHz,65 nm,N/A,65 W
Athlon 64 X2 3600+ EE,2 ,2000 MHz,90 nm,N/A,65 W
Athlon 64 X2 3800+,2 ,2000 MHz,90 nm,N/A,89 W
Athlon 64 X2 3800+ EE,2 ,2000 MHz,90 nm,N/A,65 W
Athlon 64 X2 3800+ EE SFF,2 ,2000 MHz,90 nm,N/A,35 W
Athlon 64 X2 4000+,2 ,2.1 GHz,65 nm,N/A,65 W
Athlon 64 X2 4000+,2 ,2000 MHz,90 nm,N/A,89 W
Athlon 64 X2 4000+ EE,2 ,2000 MHz,90 nm,N/A,65 W
Athlon 64 X2 4200+,2 ,2.2 GHz,90 nm,N/A,89 W
Athlon 64 X2 4200+,2 ,2.2 GHz,90 nm,N/A,89 W
Athlon 64 X2 4200+,2 ,2.2 GHz,90 nm,N/A,89 W
Athlon 64 X2 4200+,2 ,2.2 GHz,65 nm,N/A,65 W
Athlon 64 X2 4200+ EE,2 ,2.2 GHz,90 nm,N/A,65 W
Athlon 64 X2 4400+,2 ,2.2 GHz,90 nm,N/A,89 W
Athlon 64 X2 4400+,2 ,2.2 GHz,90 nm,N/A,110 W
Athlon 64 X2 4400+,2 ,2.3 GHz,65 nm,N/A,65 W
Athlon 64 X2 4400+ EE,2 ,2.2 GHz,90 nm,N/A,65 W
Athlon 64 X2 4600+,2 ,2.4 GHz,90 nm,N/A,110 W
Athlon 64 X2 4600+,2 ,2.4 GHz,90 nm,N/A,89 W
Athlon 64 X2 4600+,2 ,2.4 GHz,90 nm,N/A,89 W
Athlon 64 X2 4600+ EE,2 ,2.4 GHz,90 nm,N/A,65 W
Athlon 64 X2 4800+,2 ,2.4 GHz,90 nm,N/A,89 W
